epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,9556.49,1.20518,1.0393,1.43303,0.71761,0.48133,0.52709,0.26042,1.74297,1.30412,1.72427,0.00146936,0.00146936,0.00146936
136,9623.08,1.21392,1.08572,1.45732,0.71476,0.47836,0.52295,0.25934,1.7678,1.31402,1.74074,0.0014654,0.0014654,0.0014654
137,9689.51,1.2108,1.06577,1.46143,0.72578,0.47598,0.51911,0.25697,1.78542,1.3134,1.73174,0.00146144,0.00146144,0.00146144
138,9755.88,1.17266,1.02641,1.42165,0.7156,0.46867,0.5085,0.25593,1.73887,1.31245,1.72518,0.00145748,0.00145748,0.00145748
139,9822.08,1.21888,1.03961,1.4458,0.7427,0.47176,0.52387,0.25933,1.76363,1.30974,1.7308,0.00145352,0.00145352,0.00145352
140,9888.17,1.20108,1.08363,1.44543,0.7296,0.48424,0.52609,0.26519,1.74491,1.26308,1.70728,0.00144956,0.00144956,0.00144956
141,9954.6,1.20533,1.04916,1.45797,0.72611,0.46604,0.5202,0.26091,1.7417,1.316,1.70969,0.0014456,0.0014456,0.0014456
142,10021.3,1.19925,1.06428,1.43609,0.71081,0.47158,0.51851,0.25789,1.77515,1.31912,1.73028,0.00144164,0.00144164,0.00144164
143,10087.6,1.20329,1.03926,1.4424,0.76067,0.45827,0.52237,0.26767,1.73004,1.35661,1.71275,0.00143768,0.00143768,0.00143768
144,10153.8,1.20659,1.01968,1.44205,0.73038,0.46266,0.51843,0.26008,1.76377,1.34662,1.73203,0.00143372,0.00143372,0.00143372
145,10220.2,1.24062,1.06217,1.46502,0.73538,0.46304,0.51662,0.2603,1.75379,1.35636,1.71697,0.00142976,0.00142976,0.00142976
146,10286.5,1.19682,1.0572,1.43322,0.70613,0.46932,0.51292,0.25425,1.7614,1.36779,1.73731,0.0014258,0.0014258,0.0014258
147,10353,1.1866,1.04181,1.43733,0.73165,0.46379,0.51249,0.25431,1.75385,1.3691,1.71869,0.00142184,0.00142184,0.00142184
148,10419.9,1.16908,1.02595,1.42369,0.72753,0.47636,0.52089,0.25388,1.79486,1.32769,1.74652,0.00141788,0.00141788,0.00141788
149,10486.5,1.19802,1.06107,1.4432,0.75093,0.47008,0.53027,0.26633,1.72912,1.29554,1.70741,0.00141392,0.00141392,0.00141392
150,10553,1.18139,1.03706,1.42218,0.71187,0.47645,0.5181,0.25681,1.75642,1.33278,1.72436,0.00140996,0.00140996,0.00140996
151,10619.4,1.15647,1.00006,1.41755,0.72515,0.47174,0.5205,0.25471,1.81103,1.35944,1.7562,0.001406,0.001406,0.001406
152,10686.1,1.17495,1.00998,1.41626,0.72939,0.46829,0.52106,0.26312,1.73438,1.34969,1.711,0.00140204,0.00140204,0.00140204
153,10752.9,1.17046,1.01805,1.43147,0.73479,0.4772,0.52981,0.26466,1.74446,1.29117,1.72747,0.00139808,0.00139808,0.00139808
